light,temp
892,56.13
907,56.13
893,57.29
880,56.42
888,57.72
919,57.29
918,56.71
897,57.87
888,56.13
892,56.71
886,56.42
882,57.14
882,56.71
889,55.55
895,56.71
893,56.42
896,56.71
896,56.56
890,56.27
882,56.71
883,54.97
882,56.71
877,56.42
876,56.71
879,55.55
883,56.13
879,56.71
873,56.42
874,57.72
882,57.14
877,56.71
872,54.97
874,56.71
878,54.97
877,56.13
873,56.71
878,57.87
882,56.71
876,56.56
870,56.71
877,56.42
880,56.71
878,55.98
870,55.98
879,57.14
880,56.56
882,56.27
897,56.71
921,57.14
937,56.13
938,56.13
943,57.14
949,56.13
954,56.71
951,56.71
952,56.71
958,56.42
960,56.56
956,56.13
952,55.55
956,56.56
962,56.13
956,56.71
955,56.56
958,56.71
965,56.71
960,56.56
954,56.71
960,56.13
963,55.98
961,57.72
958,56.71
960,55.98
965,55.55
959,56.42
956,56.13
962,55.55
966,57.43
961,57.29
957,56.56
962,57.14
965,56.42
961,58.16
956,56.13
962,56.71
966,56.71
961,56.13
959,56.56
961,56.71
960,55.55
962,56.56
958,56.56
962,57.87
962,56.56
963,57.29
958,56.71
965,56.71
964,56.13
961,56.42
959,56.56
965,57.29
968,57.14
966,55.98
962,56.71
964,57.14
966,57.29
963,55.55
957,56.13
962,57.29
968,56.56
962,56.13
958,57.72
965,56.71
969,56.42
961,56.71
960,57.14
966,56.71
969,55.55
960,57.29
958,56.13
963,56.27
968,56.13
960,56.42
957,56.71
965,56.71
967,56.71
960,56.13
960,54.39
964,57.43
968,56.13
960,55.84
957,56.56
962,56.13
965,57.29
962,56.71
958,55.40
965,56.85
967,57.72
962,57.87
960,56.56
963,57.72
967,57.87
963,57.14
959,55.26
965,57.29
967,55.84
959,55.55
959,54.97
964,56.13
968,56.56
962,57.29
961,56.56
965,56.56
968,56.71
962,57.14
959,57.29
962,55.55
967,56.71
962,55.98
959,55.55
966,57.29
968,56.56
962,56.71
958,57.14
964,56.27
967,56.71
961,56.71
960,55.98
966,55.55
968,57.87
962,58.45
957,56.13
964,55.84
966,56.71
959,55.55
960,55.55
964,55.98
967,56.71
963,56.71
959,56.27
964,55.55
967,56.56
960,56.13
960,56.85
966,55.98
968,55.98
959,56.71
958,57.72
964,54.97
967,56.56
961,55.98
959,56.56
967,56.56
965,56.13
960,55.55
955,54.39
964,56.56
965,55.55
961,56.56
960,56.13
964,56.71
967,56.13
960,56.27
957,56.13
964,56.13
968,56.56
962,55.55
960,56.13
965,56.71
966,55.55
962,56.56
963,55.40
966,56.56
970,56.71
960,56.42
961,56.42
965,56.13
968,55.40
962,56.71
961,57.29
965,57.14
966,55.98
959,56.71
960,57.0
965,57.29
965,56.13
960,57.14
960,56.71
965,56.56
965,55.55
