,  35 .  10 
1989 ,  35 .  10 
1989 ,  36 .  40 
1988 ,  34 .  81 
1988 ,  34 .  52 
1989 ,  33 .  36 
1989 ,  36 .  26 
1988 ,  35 .  10 
1990 ,  33 .  36 
1992 ,  35 .  82 
1990 ,  36 .  26 
1991 ,  35 .  10 
1992 ,  35 .  24 
1993 ,  34 .  95 
1991 ,  35 .  39 
1991 ,  36 .  26 
1991 ,  34 .  95 
1991 ,  35 .  10 
1988 ,  35 .  82 
1988 ,  34 .  95 
1990 ,  34 .  95 
1990 ,  35 .  10 
1988 ,  35 .  39 
1991 ,  35 .  82 
1992 ,  35 .  39 
1990 ,  35 .  82 
1990 ,  36 .  26 
1990 ,  35 .  10 
1991 ,  35 .  39 
1989 ,  35 .  10 
1988 ,  35 .  82 
1991 ,  35 .  39 
1989 ,  35 .  39 
1989 ,  35 .  39 
1989 ,  35 .  10 
1990 ,  34 .  81 
1992 ,  35 .  82 
1988 ,  35 .  82 
1986 ,  35 .  82 
1990 ,  35 .  39 
1990 ,  35 .  24 
1994 ,  36 .  26 
1990 ,  34 .  81 
1991 ,  34 .  95 
1989 ,  35 .  10 
1989 ,  35 .  10 
1989 ,  35 .  39 
1991 ,  36 .  26 
1990 ,  35 .  82 
1992 ,  35 .  68 
1991 ,  35 .  10 
1992 ,  35 .  68 
1992 ,  35 .  68 
1993 ,  35 .  68 
1992 ,  35 .  82 
1991 ,  35 .  82 
1991 ,  35 .  68 
1981 ,  36 .  26 
1988 ,  33 .  94 
1992 ,  35 .  68 
1990 ,  35 .  68 
1992 ,  36 .  55 
1990 ,  35 .  82 
1990 ,  35 .  82 
1989 ,  36 .  55 
1989 ,  35 .  82 
1969 ,  35 .  10 
1987 ,  36 .  55 
1989 ,  35 .  24 
1990 ,  35 .  68 
1987 ,  36 .  26 
1990 ,  35 .  82 
1988 ,  35 .  82 
1987 ,  35 .  53 
1984 ,  36 .  55 
1990 ,  35 .  10 
1984 ,  35 .  82 
1987 ,  35 .  39 
1984 ,  35 .  82 
1986 ,  35 .  24 
1985 ,  35 .  24 
1986 ,  35 .  97 
1984 ,  35 .  82 
1985 ,  35 .  68 
1984 ,  35 .  53 
1983 ,  35 .  53 
1982 ,  36 .  26 
1986 ,  36 .  26 
